Identificador;ColegioPrivado;Activo_Web;Asistencia;Entregas_Completas;Trabaja;Aprobo_Curso
1;SI;BAJA;0.1;0.45;NO;APROBADO
2;no;media;0.45;0.6;NO;aprobado
3;NO;ALTA;0.5;0.75;SI;DESAPROBADO
4;NO;ALTA;0; ;SI;DESAPROBADO
5;NO;MEDIA;0.65;0.85;NO;APROBADO
6;NO;BAJA;0.1;0;NO;DESAPROBADO
7;NO;MEDIA;0.2;0.9;NO;APROBADO
8;NO;MEDIA;-0.3;0.8;SI;DESAPROBADO
9;SI;BAJA;0.35;0.7;NO;APROBADO
10;NO;baja;0.75;0.5;SI;DESAPROBADO
11;SI;alta;0.7;0.6;NO;APROBADO
12;NO;MEDIA;0.9;0.8;no;APROBADO
13;no;ALTA;0.2;0.25;NO;desaprobado
14;NO;ALTA;0.2;0.2;NO;DESAPROBADO
15;NO;BAJA;0.9;0.8;NO;APROBADO
16;NO;MEDIA;1;1;NO;aprobado
17;SI;BAJA;0.1;0.45;NO;APROBADO
18;NO;MEDIA;0.45;0.6;NO;aprobado
19;NO;ALTA;0.5;0.75;SI;DESAPROBADO
20;NO;ALTA;0; ;SI;DESAPROBADO
21;NO;MEDIA;0.65;0.85;NO;APROBADO
22;NO;baja;0.1;0;NO;DESAPROBADO
23;NO;MEDIA;0.2;0.9;no;APROBADO
24;no;MEDIA;0.3;0.8;SI;DESAPROBADO
25;SI;BAJA;0.35;0.7;NO;APROBADO
26;NO;BAJA;0.75;0.5;SI;DESAPROBADO
27;si;ALTA;0.7;0.6;NO;APROBADO
28;NO;MEDIA;0.9;0.8;NO;aprobado
29;NO;ALTA;0.2;0.25;NO;DESAPROBADO
30;no;ALTA;0.2;0.2;NO;DESAPROBADO
31;NO;BAJA;0.9;0.8;NO;aprobado
32;no;media;1;1;no;APROBADO
